id,source,target,sourceLanguage,targetLanguage,level,categories,example1_source,example1_target,example2_source,example2_target
en:time,time,tiempo,en-US,es-ES,beginner,daily-life,We don't have much time.,No tenemos mucho tiempo.,,
en:day,day,dia,en-US,es-ES,beginner,daily-life,What day is it today?,¿Qué día es hoy?,,
en:night,night,noche,en-US,es-ES,intermediate,daily-life,I work at night.,Trabajo por la noche.,,
en:morning,morning,manana,en-US,es-ES,advanced,daily-life,I have coffee every morning.,Tomo café cada mañana.,,
en:year,year,ano,en-US,es-ES,beginner,daily-life,Next year I'll travel to Spain.,El año que viene viajaré a España.,,
en:week,week,semana,en-US,es-ES,beginner,daily-life,See you next week.,Nos vemos la próxima semana.,,
en:month,month,mes,en-US,es-ES,intermediate,daily-life,I'm going on vacation next month.,Me voy de vacaciones el próximo mes.,,
en:hour,hour,hora,en-US,es-ES,advanced,daily-life,The meeting is in one hour.,La reunión es en una hora.,,
en:minute,minute,minuto,en-US,es-ES,beginner,daily-life,"Wait a minute, please.","Espera un minuto, por favor.",,
en:friend,friend,amigo,en-US,es-ES,beginner,people,He's my best friend.,Es mi mejor amigo.,,
en:family,family,familia,en-US,es-ES,intermediate,people,Family is very important to me.,La familia es muy importante para mí.,,
en:mother,mother,madre,en-US,es-ES,advanced,people|family,My mother cooks really well.,Mi madre cocina muy bien.,,
en:father,father,padre,en-US,es-ES,beginner,people|family,My father works in a bank.,Mi padre trabaja en un banco.,,
en:brother,brother,hermano,en-US,es-ES,beginner,people|family,My brother is older than me.,Mi hermano es mayor que yo.,,
en:sister,sister,hermana,en-US,es-ES,intermediate,people|family,Her sister lives in Madrid.,Su hermana vive en Madrid.,,
en:child,child,nino,en-US,es-ES,advanced,people,Every child needs love.,Cada niño necesita amor.,,
en:man,man,hombre,en-US,es-ES,beginner,people,That man is my teacher.,Ese hombre es mi profesor.,,
en:woman,woman,mujer,en-US,es-ES,beginner,people,The woman in the red dress is my aunt.,La mujer del vestido rojo es mi tía.,,
en:person,person,persona,en-US,es-ES,intermediate,people,She's a very kind person.,Es una persona muy amable.,,
en:name,name,nombre,en-US,es-ES,advanced,daily-life,What's your name?,¿Cómo te llamas?,,
en:number,number,numero,en-US,es-ES,beginner,daily-life,What's your number?,¿Cuál es tu número?,,
en:place,place,lugar,en-US,es-ES,beginner,travel,This is a nice place.,Este es un lugar agradable.,,
en:thing,thing,cosa,en-US,es-ES,intermediate,daily-life,The most important thing is to be happy.,Lo más importante es ser feliz.,,
en:way,way,manera,en-US,es-ES,advanced,daily-life,That's the best way to do it.,Esa es la mejor manera de hacerlo.,,
en:life,life,vida,en-US,es-ES,beginner,daily-life,Life is beautiful.,La vida es bella.,,
en:world,world,mundo,en-US,es-ES,beginner,nature,I want to see the world.,Quiero ver el mundo.,,
en:hand,hand,mano,en-US,es-ES,intermediate,body,Wash your hands before eating.,Lávate las manos antes de comer.,,
en:eye,eye,ojo,en-US,es-ES,advanced,body,She has beautiful eyes.,Tiene los ojos muy bonitos.,,
en:head,head,cabeza,en-US,es-ES,beginner,body,My head hurts.,Me duele la cabeza.,,
en:face,face,cara,en-US,es-ES,beginner,body,He had a big smile on his face.,Tenía una gran sonrisa en la cara.,,
en:heart,heart,corazon,en-US,es-ES,intermediate,body,She has a kind heart.,Tiene un corazón bondadoso.,,
en:money,money,dinero,en-US,es-ES,advanced,daily-life,I don't have enough money.,No tengo suficiente dinero.,,
en:problem,problem,problema,en-US,es-ES,beginner,daily-life,We have a small problem.,Tenemos un pequeño problema.,,
en:question,question,pregunta,en-US,es-ES,beginner,education,Do you have any questions?,¿Tienes alguna pregunta?,,
en:answer,answer,respuesta,en-US,es-ES,intermediate,education,I need an answer.,Necesito una respuesta.,,
en:school,school,escuela,en-US,es-ES,advanced,education,The school is near the park.,La escuela está cerca del parque.,,
en:teacher,teacher,maestro,en-US,es-ES,beginner,education,Our teacher is from Argentina.,Nuestro profesor es de Argentina.,,
en:student,student,estudiante,en-US,es-ES,beginner,education,She's a good student.,Es una buena estudiante.,,
en:to-go,to go,ir,en-US,es-ES,intermediate,daily-life,I have to go now.,Tengo que irme ahora.,,
en:to-come,to come,venir,en-US,es-ES,advanced,daily-life,Can you come tomorrow?,¿Puedes venir mañana?,,
en:to-see,to see,ver,en-US,es-ES,beginner,daily-life,I want to see you again.,Quiero verte otra vez.,,
en:to-know,to know,saber,en-US,es-ES,beginner,daily-life,I don't know what to do.,No sé qué hacer.,,
en:to-want,to want,querer,en-US,es-ES,intermediate,daily-life,What do you want to eat?,¿Qué quieres comer?,,
en:to-need,to need,necesitar,en-US,es-ES,advanced,daily-life,We need more time.,Necesitamos más tiempo.,,
en:to-think,to think,pensar,en-US,es-ES,beginner,daily-life,I need to think about it.,Necesito pensarlo.,,
en:to-say,to say,decir,en-US,es-ES,beginner,daily-life,What did you say?,¿Qué dijiste?,,
en:to-give,to give,dar,en-US,es-ES,intermediate,daily-life,Give me your hand.,Dame tu mano.,,
en:to-take,to take,tomar,en-US,es-ES,advanced,daily-life,"Take a seat, please.","Toma asiento, por favor.",,
en:to-make,to make,hacer,en-US,es-ES,beginner,daily-life,I need to make a phone call.,Necesito hacer una llamada.,,
en:to-have,to have,tener,en-US,es-ES,beginner,daily-life,I have two brothers.,Tengo dos hermanos.,,
en:to-be,to be,ser,en-US,es-ES,intermediate,daily-life,I want to be a doctor.,Quiero ser médico.,,
en:to-do,to do,hacer,en-US,es-ES,advanced,daily-life,What are you doing?,¿Qué estás haciendo?,,
en:to-speak,to speak,hablar,en-US,es-ES,beginner,daily-life,Do you speak Spanish?,¿Hablas español?,,
en:to-read,to read,leer,en-US,es-ES,beginner,education,I like to read before sleeping.,Me gusta leer antes de dormir.,,
en:to-write,to write,escribir,en-US,es-ES,intermediate,education,She likes to write poems.,Le gusta escribir poemas.,,
en:to-run,to run,correr,en-US,es-ES,advanced,daily-life,I run every morning.,Corro cada mañana.,,
en:to-walk,to walk,caminar,en-US,es-ES,beginner,daily-life,Let's walk to the park.,Caminemos al parque.,,
en:to-sleep,to sleep,dormir,en-US,es-ES,beginner,daily-life,I need to sleep more.,Necesito dormir más.,,
en:to-drink,to drink,beber,en-US,es-ES,intermediate,food,Do you want to drink something?,¿Quieres beber algo?,,
en:to-buy,to buy,comprar,en-US,es-ES,advanced,daily-life,I want to buy a new phone.,Quiero comprar un teléfono nuevo.,,
en:to-sell,to sell,vender,en-US,es-ES,beginner,work,They sell fresh bread here.,Venden pan fresco aquí.,,
en:to-open,to open,abrir,en-US,es-ES,beginner,daily-life,"Open the window, please.","Abre la ventana, por favor.",,
en:to-close,to close,cerrar,en-US,es-ES,intermediate,daily-life,Close the door when you leave.,Cierra la puerta cuando te vayas.,,
en:to-love,to love,amar,en-US,es-ES,advanced,emotions,I love you.,Te amo.,,
en:to-like,to like,gustar,en-US,es-ES,beginner,emotions,I like this song.,Me gusta esta canción.,,
en:big,big,grande,en-US,es-ES,beginner,adjectives,This room is too big.,Esta habitación es demasiado grande.,,
en:small,small,pequeno,en-US,es-ES,intermediate,adjectives,We have a small garden.,Tenemos un jardín pequeño.,,
en:good,good,bueno,en-US,es-ES,advanced,adjectives,That's a good idea.,Es una buena idea.,,
en:bad,bad,malo,en-US,es-ES,beginner,adjectives,The weather is bad today.,El tiempo está mal hoy.,,
en:new,new,nuevo,en-US,es-ES,beginner,adjectives,I need new shoes.,Necesito zapatos nuevos.,,
en:old,old,viejo,en-US,es-ES,intermediate,adjectives,This is an old building.,Este es un edificio viejo.,,
en:hot,hot,caliente,en-US,es-ES,advanced,adjectives,It's very hot today.,Hace mucho calor hoy.,,
en:cold,cold,frio,en-US,es-ES,beginner,adjectives,I'm cold. Close the window.,Tengo frío. Cierra la ventana.,,
en:beautiful,beautiful,hermoso,en-US,es-ES,beginner,adjectives,What a beautiful day!,¡Qué día tan bonito!,,
en:ugly,ugly,feo,en-US,es-ES,intermediate,adjectives,This is very ugly.,Esto es muy feo.,,
en:easy,easy,facil,en-US,es-ES,advanced,adjectives,This exercise is easy.,Este ejercicio es fácil.,,
en:difficult,difficult,dificil,en-US,es-ES,beginner,adjectives,Spanish is difficult but fun.,El español es difícil pero divertido.,,
en:fast,fast,rapido,en-US,es-ES,beginner,adjectives,He runs very fast.,Corre muy rápido.,,
en:slow,slow,lento,en-US,es-ES,intermediate,adjectives,The bus is too slow.,El autobús es muy lento.,,
en:right,right,derecho,en-US,es-ES,advanced,adjectives,Where is the right?,¿Dónde está El derecho?,,
en:left,left,izquierdo,en-US,es-ES,beginner,adjectives,I need the left.,Necesito El izquierdo.,,
en:high,high,alto,en-US,es-ES,beginner,adjectives,She gave me the high.,Ella me dio El alto.,,
en:low,low,bajo,en-US,es-ES,intermediate,adjectives,Do you have a low?,¿Tienes Un bajo?,,
en:long,long,largo,en-US,es-ES,advanced,adjectives,I love this long.,Me encanta el largo.,,
en:short,short,corto,en-US,es-ES,beginner,adjectives,I need the short.,Necesito El corto.,,
en:white,white,blanco,en-US,es-ES,beginner,colors,I need a white shirt.,Necesito una camisa blanca.,,
en:black,black,negro,en-US,es-ES,intermediate,colors,She was wearing a black dress.,Llevaba un vestido negro.,,
en:red,red,rojo,en-US,es-ES,advanced,colors,The car is red.,El coche es rojo.,,
en:blue,blue,azul,en-US,es-ES,beginner,colors,The sky is blue.,El cielo es azul.,,
en:green,green,verde,en-US,es-ES,beginner,colors,We have a green door.,Tenemos una puerta verde.,,
en:yellow,yellow,amarillo,en-US,es-ES,intermediate,colors,It's too yellow.,Es demasiado amarillo.,,
en:today,today,hoy,en-US,es-ES,advanced,time,See you today.,Nos vemos hoy.,,
en:tomorrow,tomorrow,manana,en-US,es-ES,beginner,time,I'll call you tomorrow.,Te llamo mañana.,,
en:yesterday,yesterday,ayer,en-US,es-ES,beginner,time,I saw him yesterday.,Lo vi ayer.,,
en:now,now,ahora,en-US,es-ES,intermediate,time,Do it now.,Hazlo ahora.,,
en:here,here,aqui,en-US,es-ES,advanced,place,Come here.,Ven aquí.,,
en:there,there,alli,en-US,es-ES,beginner,place,Put it there.,Ponlo ahí.,,
en:yes,yes,si,en-US,es-ES,beginner,daily-life,"Yes, I agree.","Sí, estoy de acuerdo.",,
en:no,no,no,en-US,es-ES,intermediate,daily-life,"No, thank you.","No, gracias.",,
en:please,please,por favor,en-US,es-ES,advanced,greetings,Please help me.,Por favor ayúdame.,,
en:thanks,thanks,gracias,en-US,es-ES,beginner,greetings,Thanks for your help.,Gracias por tu ayuda.,,
en:sorry,sorry,perdon,en-US,es-ES,beginner,greetings,I'm sorry I'm late.,Perdón por llegar tarde.,,
en:goodbye,goodbye,adios,en-US,es-ES,intermediate,greetings,Goodbye! See you soon.,¡Adiós! Hasta pronto.,,
en:sun,sun,sol,en-US,es-ES,advanced,nature,The sun is setting.,El sol se está poniendo.,,
en:moon,moon,luna,en-US,es-ES,beginner,nature,The moon is full tonight.,La luna está llena esta noche.,,
en:rain,rain,lluvia,en-US,es-ES,beginner,weather,It might rain tomorrow.,Puede que llueva mañana.,,
en:snow,snow,nieve,en-US,es-ES,intermediate,weather,It's going to snow tonight.,Va a nevar esta noche.,,
en:tree,tree,arbol,en-US,es-ES,advanced,nature,There's a big tree in the garden.,Hay un árbol grande en el jardín.,,
en:flower,flower,flor,en-US,es-ES,beginner,nature,I need the flower.,Necesito La flor.,,
en:bird,bird,pajaro,en-US,es-ES,beginner,animals,A bird is singing.,Un pájaro está cantando.,,
en:fish,fish,pez,en-US,es-ES,intermediate,animals,We had fish for dinner.,Comimos pescado para la cena.,,
en:bread,bread,pan,en-US,es-ES,advanced,food,I bought fresh bread.,Compré pan fresco.,,
en:milk,milk,leche,en-US,es-ES,beginner,food,We're out of milk.,No nos queda leche.,,
en:coffee,coffee,cafe,en-US,es-ES,beginner,food,I drink coffee every morning.,Bebo café cada mañana.,,
en:tea,tea,te,en-US,es-ES,intermediate,food,I need the tea.,Necesito El te.,,
en:fruit,fruit,fruta,en-US,es-ES,advanced,food,We don't have the fruit.,No tenemos La fruta.,,
en:apple,apple,manzana,en-US,es-ES,beginner,food,She ate an apple.,Se comió una manzana.,,
en:orange,orange,naranja,en-US,es-ES,beginner,food,It's too orange.,Es demasiado naranja.,,
en:banana,banana,platano,en-US,es-ES,intermediate,food,The banana is important.,El platano es importante.,,
en:meat,meat,carne,en-US,es-ES,advanced,food,I lost the meat.,Perdí La carne.,,
en:egg,egg,huevo,en-US,es-ES,beginner,food,I need the egg.,Necesito El huevo.,,
en:salt,salt,sal,en-US,es-ES,beginner,food,I need the salt.,Necesito El sal.,,
en:sugar,sugar,azucar,en-US,es-ES,intermediate,food,We don't have the sugar.,No tenemos El azucar.,,
en:airport,airport,aeropuerto,en-US,es-ES,advanced,travel,We're at the airport.,Estamos en el aeropuerto.,,
en:train,train,tren,en-US,es-ES,beginner,travel,The train leaves at eight.,El tren sale a las ocho.,,
en:bus,bus,autobus,en-US,es-ES,beginner,travel,I take the bus to work.,Tomo el autobús al trabajo.,,
en:bicycle,bicycle,bicicleta,en-US,es-ES,intermediate,travel,Do you have a bicycle?,¿Tienes Una bicicleta?,,
en:boat,boat,barco,en-US,es-ES,advanced,travel,I need the boat.,Necesito El barco.,,
en:plane,plane,avion,en-US,es-ES,beginner,travel,Do you have a plane?,¿Tienes Un avion?,,
en:bag,bag,bolso,en-US,es-ES,beginner,daily-life,Where's my bag?,¿Dónde está mi bolso?,,
en:key,key,llave,en-US,es-ES,intermediate,daily-life,I lost my keys.,Perdí mis llaves.,,
en:phone,phone,telefono,en-US,es-ES,advanced,daily-life,Answer the phone.,Contesta el teléfono.,,
en:computer,computer,ordenador,en-US,es-ES,beginner,work,My computer is broken.,Mi ordenador está roto.,,
en:paper,paper,papel,en-US,es-ES,beginner,work,The paper is important.,El papel es importante.,,
en:pen,pen,boligrafo,en-US,es-ES,intermediate,work,The pen is on the table.,El boligrafo está en la mesa.,,
en:letter,letter,carta,en-US,es-ES,advanced,work,I received a letter.,Recibí una carta.,,
en:job,job,trabajo,en-US,es-ES,beginner,work,I found a new job.,Encontré un trabajo nuevo.,,
en:office,office,oficina,en-US,es-ES,beginner,work,I'll be in the office tomorrow.,Estaré en la oficina mañana.,,
en:doctor,doctor,medico,en-US,es-ES,intermediate,work,You should see a doctor.,Deberías ver a un médico.,,
en:nurse,nurse,enfermera,en-US,es-ES,advanced,work,I love this nurse.,Me encanta la enfermera.,,
en:lawyer,lawyer,abogado,en-US,es-ES,beginner,work,Where is the lawyer?,¿Dónde está El abogado?,,
en:engineer,engineer,ingeniero,en-US,es-ES,beginner,work,She gave me the engineer.,Ella me dio El ingeniero.,,
en:artist,artist,artista,en-US,es-ES,intermediate,work,I love this artist.,Me encanta la artista.,,
en:music,music,musica,en-US,es-ES,advanced,culture,I love listening to music.,Me encanta escuchar música.,,
en:song,song,cancion,en-US,es-ES,beginner,culture,The song is on the table.,La cancion está en la mesa.,,
en:movie,movie,pelicula,en-US,es-ES,beginner,culture,We watched a good movie.,Vimos una buena película.,,
en:game,game,juego,en-US,es-ES,intermediate,culture,This game is new.,El juego es nuevo.,,
en:sport,sport,deporte,en-US,es-ES,advanced,culture,Do you have a sport?,¿Tienes Un deporte?,,
en:ball,ball,pelota,en-US,es-ES,beginner,culture,I love this ball.,Me encanta la pelota.,,
en:newspaper,newspaper,periodico,en-US,es-ES,beginner,culture,That seems newspaper.,Eso parece periodico.,,
en:news,news,noticias,en-US,es-ES,intermediate,culture,I have good news.,Tengo buenas noticias.,,
en:language,language,idioma,en-US,es-ES,advanced,education,Do you have a language?,¿Tienes Un idioma?,,
en:word,word,palabra,en-US,es-ES,beginner,education,I need the word.,Necesito La palabra.,,
en:lesson,lesson,leccion,en-US,es-ES,beginner,education,I love this lesson.,Me encanta la leccion.,,
en:test,test,examen,en-US,es-ES,intermediate,education,I love this test.,Me encanta el examen.,,
en:happy,happy,feliz,en-US,es-ES,advanced,emotions,I'm so happy for you.,Estoy muy feliz por ti.,,
en:sad,sad,triste,en-US,es-ES,beginner,emotions,She looked sad.,Se veía triste.,,
en:angry,angry,enojado,en-US,es-ES,beginner,emotions,The room is angry.,La habitación está enojado.,,
en:tired,tired,cansado,en-US,es-ES,intermediate,emotions,I'm too tired to go out.,Estoy muy cansado para salir.,,
en:hungry,hungry,hambriento,en-US,es-ES,advanced,emotions,I'm hungry. When's dinner?,Tengo hambre. ¿Cuándo es la cena?,,
en:thirsty,thirsty,sediento,en-US,es-ES,beginner,emotions,That seems thirsty.,Eso parece sediento.,,
en:afraid,afraid,asustado,en-US,es-ES,beginner,emotions,Do you have a afraid?,¿Tienes Un asustado?,,
en:surprised,surprised,sorprendido,en-US,es-ES,intermediate,emotions,That seems surprised.,Eso parece sorprendido.,,
en:clean,clean,limpio,en-US,es-ES,advanced,adjectives,Keep the kitchen clean.,Mantén la cocina limpia.,,
en:dirty,dirty,sucio,en-US,es-ES,beginner,adjectives,My shoes are dirty.,Mis zapatos están sucios.,,
en:full,full,lleno,en-US,es-ES,beginner,adjectives,The bus is full.,El autobús está lleno.,,
en:empty,empty,vacio,en-US,es-ES,intermediate,adjectives,The room was empty.,La habitación estaba vacía.,,
en:open,open,abierto,en-US,es-ES,advanced,adjectives,The store is open.,La tienda está abierta.,,
en:closed,closed,cerrado,en-US,es-ES,beginner,adjectives,The bank is closed today.,El banco está cerrado hoy.,,
en:correct,correct,correcto,en-US,es-ES,beginner,adjectives,Your answer is correct.,Tu respuesta es correcta.,,
en:wrong,wrong,incorrecto,en-US,es-ES,intermediate,adjectives,You're wrong.,Estás equivocado.,,
en:same,same,mismo,en-US,es-ES,advanced,adjectives,We have the same problem.,Tenemos el mismo problema.,,
en:different,different,diferente,en-US,es-ES,beginner,adjectives,We have different opinions.,Tenemos opiniones diferentes.,,
en:possible,possible,posible,en-US,es-ES,beginner,adjectives,Anything is possible.,Todo es posible.,,
en:impossible,impossible,imposible,en-US,es-ES,intermediate,adjectives,That's impossible!,¡Eso es imposible!,,
en:important,important,importante,en-US,es-ES,advanced,adjectives,This is very important.,Esto es muy importante.,,
en:interesting,interesting,interesante,en-US,es-ES,beginner,adjectives,That's interesting.,Eso es interesante.,,
en:boring,boring,aburrido,en-US,es-ES,beginner,adjectives,This movie is boring.,Esta película es aburrida.,,
en:expensive,expensive,caro,en-US,es-ES,intermediate,adjectives,It's too expensive.,Es demasiado caro.,,
en:cheap,cheap,barato,en-US,es-ES,advanced,adjectives,This restaurant is cheap.,Este restaurante es barato.,,
en:free,free,gratis,en-US,es-ES,beginner,adjectives,Entry is free.,La entrada es gratis.,,
en:busy,busy,ocupado,en-US,es-ES,beginner,adjectives,I'm too busy this week.,Estoy muy ocupado esta semana.,,
en:ready,ready,listo,en-US,es-ES,intermediate,adjectives,Are you ready?,¿Estás listo?,,
en:true,true,verdadero,en-US,es-ES,advanced,adjectives,That's not true.,Eso no es verdad.,,
en:false,false,falso,en-US,es-ES,beginner,adjectives,That statement is false.,Esa afirmación es falsa.,,
en:first,first,primero,en-US,es-ES,beginner,adjectives,This is my first time.,Es mi primera vez.,,
en:last,last,ultimo,en-US,es-ES,intermediate,adjectives,This is the last one.,Este es el último.,,
en:next,next,siguiente,en-US,es-ES,advanced,adjectives,See you next week.,Nos vemos la próxima semana.,,
en:other,other,otro,en-US,es-ES,beginner,adjectives,Do you have any other ideas?,¿Tienes otras ideas?,,
en:every,every,cada,en-US,es-ES,beginner,adjectives,I exercise every day.,Hago ejercicio todos los días.,,
en:all,all,todo,en-US,es-ES,intermediate,adjectives,All the students passed.,Todos los estudiantes aprobaron.,,
en:many,many,muchos,en-US,es-ES,advanced,adjectives,How many do you want?,¿Cuántos quieres?,,
en:few,few,pocos,en-US,es-ES,beginner,adjectives,I have a few questions.,Tengo algunas preguntas.,,
en:some,some,algunos,en-US,es-ES,beginner,adjectives,Would you like some water?,¿Quieres un poco de agua?,,
en:one,one,uno,en-US,es-ES,intermediate,numbers,I have one brother.,Tengo un hermano.,,
en:two,two,dos,en-US,es-ES,advanced,numbers,We need two tickets.,Necesitamos dos billetes.,,
en:three,three,tres,en-US,es-ES,beginner,numbers,Class starts at three.,La clase empieza a las tres.,,
en:four,four,cuatro,en-US,es-ES,beginner,numbers,There are four of us.,Somos cuatro.,,
en:five,five,cinco,en-US,es-ES,intermediate,numbers,Give me five minutes.,Dame cinco minutos.,,
en:six,six,seis,en-US,es-ES,advanced,numbers,I get up at six.,Me levanto a las seis.,,
en:seven,seven,siete,en-US,es-ES,beginner,numbers,We have seven days in a week.,Hay siete días en una semana.,,
en:eight,eight,ocho,en-US,es-ES,beginner,numbers,The meeting is at eight.,La reunión es a las ocho.,,
en:nine,nine,nueve,en-US,es-ES,intermediate,numbers,I have nine books.,Tengo nueve libros.,,
en:ten,ten,diez,en-US,es-ES,advanced,numbers,Count to ten.,Cuenta hasta diez.,,
en:hundred,hundred,cien,en-US,es-ES,beginner,numbers,There were a hundred people.,Había cien personas.,,
en:thousand,thousand,mil,en-US,es-ES,beginner,numbers,It costs a thousand euros.,Cuesta mil euros.,,
en:brown,brown,marron,en-US,es-ES,intermediate,colors,The room is brown.,La habitación está marron.,,
en:gray,gray,gris,en-US,es-ES,advanced,colors,It's too gray.,Es demasiado gris.,,
en:pink,pink,rosa,en-US,es-ES,beginner,colors,The room is pink.,La habitación está rosa.,,
en:purple,purple,morado,en-US,es-ES,beginner,colors,She wore a purple dress.,Llevaba un vestido morado.,,
en:to-live,to live,vivir,en-US,es-ES,intermediate,daily-life,I live in Madrid.,Vivo en Madrid.,,
en:to-die,to die,morir,en-US,es-ES,advanced,daily-life,Can you die?,¿Puedes morir?,,
en:to-wait,to wait,esperar,en-US,es-ES,beginner,daily-life,Please wait here.,Por favor espera aquí.,,
en:to-leave,to leave,salir,en-US,es-ES,beginner,daily-life,Can you leave?,¿Puedes salir?,,
en:to-arrive,to arrive,llegar,en-US,es-ES,intermediate,travel,Can you arrive?,¿Puedes llegar?,,
en:to-find,to find,encontrar,en-US,es-ES,advanced,daily-life,We need to find.,Necesitamos encontrar.,,
en:to-lose,to lose,perder,en-US,es-ES,beginner,daily-life,Can you lose?,¿Puedes perder?,,
en:to-forget,to forget,olvidar,en-US,es-ES,beginner,daily-life,She likes to forget.,A ella le gusta olvidar.,,
en:to-remember,to remember,recordar,en-US,es-ES,intermediate,daily-life,She likes to remember.,A ella le gusta recordar.,,
en:to-understand,to understand,entender,en-US,es-ES,advanced,education,I don't understand.,No entiendo.,,
en:to-learn,to learn,aprender,en-US,es-ES,beginner,education,I'm learning Spanish.,Estoy aprendiendo español.,,
en:to-teach,to teach,ensenar,en-US,es-ES,beginner,education,I have to teach today.,Tengo que ensenar hoy.,,
en:to-try,to try,intentar,en-US,es-ES,intermediate,daily-life,Try again.,Inténtalo otra vez.,,
en:to-believe,to believe,creer,en-US,es-ES,advanced,daily-life,I can't believe it.,No puedo creerlo.,,
en:to-feel,to feel,sentir,en-US,es-ES,beginner,emotions,I feel better now.,Me siento mejor ahora.,,
en:to-call,to call,llamar,en-US,es-ES,beginner,daily-life,I'll call you later.,Te llamo más tarde.,,
en:to-ask,to ask,preguntar,en-US,es-ES,intermediate,daily-life,Can I ask you a question?,¿Puedo hacerte una pregunta?,,
en:to-help,to help,ayudar,en-US,es-ES,advanced,daily-life,Can you help me?,¿Puedes ayudarme?,,
en:to-play,to play,jugar,en-US,es-ES,beginner,culture,The children are playing outside.,Los niños están jugando fuera.,,
en:to-listen,to listen,escuchar,en-US,es-ES,beginner,daily-life,Listen to me.,Escúchame.,,
en:to-watch,to watch,mirar,en-US,es-ES,intermediate,daily-life,We're watching a film.,Estamos viendo una película.,,
en:to-work,to work,trabajar,en-US,es-ES,advanced,work,I work from home.,Trabajo desde casa.,,
en:to-study,to study,estudiar,en-US,es-ES,beginner,education,We need to study.,Necesitamos estudiar.,,
en:to-cook,to cook,cocinar,en-US,es-ES,beginner,food,My father loves to cook.,A mi padre le encanta cocinar.,,
en:to-wash,to wash,lavar,en-US,es-ES,intermediate,daily-life,I want to wash.,Quiero lavar.,,
en:to-clean,to clean,limpiar,en-US,es-ES,advanced,daily-life,I want to clean.,Quiero limpiar.,,
en:to-pay,to pay,pagar,en-US,es-ES,beginner,daily-life,I'll pay for dinner.,Yo pago la cena.,,
en:to-change,to change,cambiar,en-US,es-ES,beginner,daily-life,Can you change?,¿Puedes cambiar?,,
en:to-start,to start,empezar,en-US,es-ES,intermediate,daily-life,We start at nine.,Empezamos a las nueve.,,
en:to-finish,to finish,terminar,en-US,es-ES,advanced,daily-life,I need to finish this today.,Necesito terminar esto hoy.,,
en:to-stop,to stop,parar,en-US,es-ES,beginner,daily-life,Stop the car.,Para el coche.,,
en:to-continue,to continue,continuar,en-US,es-ES,beginner,daily-life,She likes to continue.,A ella le gusta continuar.,,
en:to-return,to return,volver,en-US,es-ES,intermediate,daily-life,She likes to return.,A ella le gusta volver.,,
en:to-bring,to bring,traer,en-US,es-ES,advanced,daily-life,We need to bring.,Necesitamos traer.,,
en:to-send,to send,enviar,en-US,es-ES,beginner,daily-life,I have to send today.,Tengo que enviar hoy.,,
en:to-receive,to receive,recibir,en-US,es-ES,beginner,daily-life,We need to receive.,Necesitamos recibir.,,
en:to-use,to use,usar,en-US,es-ES,intermediate,daily-life,She likes to use.,A ella le gusta usar.,,
en:to-prefer,to prefer,preferir,en-US,es-ES,advanced,daily-life,Can you prefer?,¿Puedes preferir?,,
en:to-choose,to choose,elegir,en-US,es-ES,beginner,daily-life,Can you choose?,¿Puedes elegir?,,
